capacite;effectif_total_candidats;effectif_total_candidates;effectif_total_proposition_admission;effectif_total_admis;effectif_total_admises;effectif_total_admis_boursiers_neo_bac;effectif_total_admis_neo_bac;effectif_admis_meme_academie
23;849;293;476;21;4;3;21;20
180;7781;2065;4385;168;36;11;157;50
94;7847;1993;2775;94;19;8;93;62
25;3824;1606;832;25;20;3;23;9
30;4286;1761;1044;32;25;5;31;6
240;12041;3823;2645;244;91;28;231;82
40;611;56;80;42;5;10;41;9
28;1334;288;1089;22;2;0;22;15
56;1331;300;1123;26;6;1;26;22
140;1683;346;1443;64;4;3;63;46
85;3129;763;3021;59;11;1;59;6
395;5439;1203;3787;459;87;17;459;106
5;159;9;72;5;0;1;5;0
25;250;10;139;26;1;3;26;11
15;90;40;84;32;14;0;30;5
250;2905;639;2335;289;57;28;289;57
125;1985;755;1378;119;88;6;119;69
6;163;11;30;7;0;2;7;5
6;148;10;26;4;0;2;4;3
12;246;13;61;12;2;1;12;3
75;466;221;306;89;43;6;74;56
36;482;172;316;20;3;3;17;14
180;545;262;441;182;95;11;147;95
35;3377;879;2006;27;10;1;27;6
4;105;6;19;1;0;0;1;0
36;2241;651;1412;18;3;3;18;17
300;659;283;355;37;16;13;29;16
16;4620;1680;853;16;7;4;13;8
2;30;13;5;0;0;0;0;0
145;3230;673;3043;134;21;5;134;71
60;4239;948;2471;40;2;6;39;27
70;1710;264;1214;54;10;4;54;17
70;1641;259;1200;55;7;3;55;22
8;4968;1765;836;3;3;0;1;1
10;938;194;928;2;1;0;2;1
25;159;9;100;21;0;1;20;1
24;543;397;127;22;18;5;20;15
18;268;174;80;16;10;1;13;12
30;160;108;107;19;10;2;11;9
32;236;133;76;18;14;3;11;8
8;46;9;19;2;0;1;2;2
18;189;101;68;15;7;4;11;8
35;278;143;101;38;24;12;36;36
30;305;44;110;25;2;5;20;18
35;368;203;100;24;15;11;21;20
24;675;390;92;22;19;9;16;15
35;278;157;130;33;18;19;25;21
35;379;213;105;21;11;7;15;15
16;204;74;35;7;2;1;7;5
15;64;3;28;14;0;5;13;11
18;105;35;68;23;8;4;14;14
18;121;56;57;17;10;3;10;8
35;207;122;94;19;14;2;16;10
52;384;181;301;32;15;1;20;13
25;286;155;110;28;16;2;28;15
24;383;215;139;17;8;1;10;7
15;49;3;36;9;0;2;5;4
20;188;109;88;18;9;6;14;12
35;817;450;159;30;20;6;24;18
52;321;41;262;15;1;3;11;3
6;50;2;23;5;0;0;5;5
24;64;39;45;11;9;4;7;7
84;1127;517;478;74;32;9;64;45
52;1152;359;226;56;18;6;32;15
24;223;149;71;16;11;2;15;0
30;167;15;70;22;1;6;22;10
56;833;494;342;49;23;3;39;17
35;448;241;124;26;14;3;11;7
35;717;148;101;25;1;6;22;17
24;786;391;158;21;9;7;19;18
32;752;381;167;32;15;11;19;18
35;706;363;177;34;15;14;30;30
35;1109;630;160;32;16;12;26;25
31;254;31;89;25;2;7;25;23
96;1874;709;546;93;37;11;92;75
48;1369;985;314;44;28;2;43;34
32;945;157;98;34;3;6;26;25
24;741;527;77;24;18;9;15;11
37;920;498;182;40;22;18;29;28
24;281;10;76;17;1;6;13;10
28;159;59;81;8;2;2;6;6
25;168;150;105;20;19;5;14;8
32;426;141;111;31;8;1;27;22
168;3702;1882;757;167;104;47;157;117
15;179;7;55;15;0;1;11;10
24;490;332;153;19;12;2;14;10
60;748;84;269;60;4;16;51;43
25;467;94;169;16;3;3;9;9
34;418;206;143;31;14;3;21;18
24;116;71;66;9;8;3;9;9
23;131;55;20;2;1;1;2;2
36;1201;599;138;33;27;6;25;18
24;158;55;63;11;1;2;7;7
36;265;149;120;24;13;14;21;20
36;331;178;142;27;13;14;23;23
36;199;104;103;30;15;5;19;19
24;239;122;81;17;11;2;10;8
36;267;138;112;27;11;11;22;19
24;193;102;76;24;10;3;7;7
50;445;155;240;46;10;3;36;20
12;66;10;37;5;0;2;4;3
48;784;214;251;42;9;3;36;22
140;1663;832;755;133;56;32;104;77
32;404;88;160;20;5;0;15;8
30;118;33;75;12;2;2;10;8
30;79;20;46;11;5;0;5;4
36;865;418;149;30;14;7;18;13
30;415;38;110;26;3;9;21;18
20;403;212;66;17;11;10;16;12
20;144;75;59;12;8;2;8;7
15;33;13;18;1;0;0;1;0
18;574;221;82;11;4;1;5;2
24;265;34;61;19;0;5;13;11
15;334;35;51;13;0;4;11;8
12;160;21;48;8;1;0;6;5
80;1260;589;468;77;37;15;68;54
33;86;25;62;9;2;2;8;8
32;447;249;140;30;18;4;29;24
15;53;3;34;7;0;0;6;5
35;936;594;249;38;21;12;29;25
96;1478;603;671;94;35;12;93;85
96;3281;998;378;96;22;10;96;82
24;370;45;91;18;0;5;15;13
35;970;473;186;30;12;13;21;20
24;271;104;108;21;5;11;21;20
24;294;19;121;17;0;6;13;12
24;667;150;131;25;7;9;12;12
15;231;32;50;15;1;9;12;12
48;2148;1600;323;45;39;15;32;27
48;1068;530;265;46;16;12;26;26
35;422;17;132;30;0;16;23;22
24;599;365;148;23;12;11;16;16
24;355;258;159;17;11;8;12;12
